id,created_at,text
960177612885651457,2018-02-04 15:45:56,Slick https://t.co/8JLAWA5tq1
959939537303609344,2018-02-03 23:59:55,RT @Cloud9: #C9LoL take the win over @OpTicGaming in the #NALCS! #C9WIN https://t.co/k5JOiCvMr4
959939430508257280,2018-02-03 23:59:29,RT @JackEtienne: Congrats C9 LCS! I’m so thankful the actual season is being kinder to us than the off season.  #C9WIN
959920641230233600,2018-02-03 22:44:49,RT @elonmusk: Falcon Heavy launch simulation almost ready. Will be set to Bowie’s Life on Mars.
959577082782101504,2018-02-02 23:59:39,+1 https://t.co/DU1tVJEw5G
959253238502576129,2018-02-02 02:32:48,@SteveMnich Thumbs up.  Works great for certain foods!
959246248539709440,2018-02-02 02:05:02,And....  the fire department was just here.  No joke.   Fat dripped down from the kobe and created a white smoke.… https://t.co/gJi3CkxOAG
959244650878926848,2018-02-02 01:58:41,Feeling frisky - let's put some Kobe wagyu in there.  Buckle your seatbelts. https://t.co/Nq1lMBxkCG
959244413279940608,2018-02-02 01:57:44,French fries!!!!  Winner!!! https://t.co/bGaBuz0ruP
959228193549897728,2018-02-02 00:53:17,If this air fryer makes french fries anywhere near McDonald's I'm never leaving my house https://t.co/2kpGb74HyY
959219662939504646,2018-02-02 00:19:23,Can't wait! https://t.co/B0idy0dlUI
959110106062446594,2018-02-01 17:04:03,RT @NeerajKA: Maduro is taking credit for the recent cryptocurrency downturn https://t.co/DC3Vgf2jZW https://t.co/nTXNBm26ZX
958831012422692864,2018-01-31 22:35:02,RT @VinnyLingham: Exciting times for @civickey (hint: https://t.co/yTUeuVmROh) https://t.co/mMKgc9SPdM
958829091918172160,2018-01-31 22:27:24,RT @SpaceX: Successful deployment of GovSat-1 to a Geostationary Transfer Orbit confirmed. https://t.co/0D3h7hR7YF
958803193688883201,2018-01-31 20:44:29,RT @SpaceX: T-60 minutes until Falcon 9 launch of GovSat-1. Launch webcast will go live about 15 minutes before liftoff → https://t.co/gtC3…
958587717402726402,2018-01-31 06:28:16,RT @sundeep: Check it out! https://t.co/80PAIGLoYC 😳😳😳 https://t.co/PW6xnfRKAS
958507192809762816,2018-01-31 01:08:17,@NeerajKA Do you take litecoin?
958504644602355712,2018-01-31 00:58:10,"RT @django: hey guys, I think I figured out the secret to the Dalai Lama's serenity https://t.co/XBDqqmsE6E"
958437815322202112,2018-01-30 20:32:36,Maybe we should really panic now https://t.co/yYOHahKwyj
958411470638743552,2018-01-30 18:47:55,RT @SpaceX: Falcon 9 and GovSat-1 are vertical on Space Launch Complex 40 at Cape Canaveral Air Force Station in Florida. https://t.co/oy8L…
958144339338670080,2018-01-30 01:06:26,Ouch https://t.co/j2uFOoP6lN
958143797895901186,2018-01-30 01:04:17,RT @zerohedge: This is the 4th time HSBC has been charged with market manipulation after the bank swore it would never manipulate markets a…
958124298719305728,2018-01-29 23:46:48,RT @TheOnion: Tesla Debuts Carless Driver https://t.co/8zFQOyGN3g https://t.co/swPgKGRdtg
958085690666831873,2018-01-29 21:13:23,RT @KyleSamani: We're doing some deep dive research into Lightning. Would love to talk with some LN node operators and liquidity providers.…
957815566793781249,2018-01-29 03:20:01,RT @Cloud9: #C9LoL defeat @100Thieves and end Week 2 of the #NALCS 3-1! #GGWP https://t.co/CcZ6K54FEj
957767556571385856,2018-01-29 00:09:14,RT @btaylor: TFW you realize @elonmusk can get more people to buy actual flamethrowers in one evening than you can get people to download a…
957762842559565824,2018-01-28 23:50:30,"RT @BResports_: NORTH 👏 AMERICAN 👏 CS 👏

@Cloud9 is the first NA team to win a Major in Counter-Strike history.

#ELEAGUEMajor #ELEAGUE htt…"
957754984770121728,2018-01-28 23:19:17,"RT @Cloud9: #C9CSGO is in Overtime on Inferno in the Grand Finals of the New Champions Stage of the #ELEAGUEMajor!

📺 https://t.co/vrNIeHjN…"
957754949621858304,2018-01-28 23:19:08,RT @dfiden: I can’t handle this. Let’s go! @Cloud9
957712931675783169,2018-01-28 20:32:11,"RT @Cloud9: We're down but not out. Win or lose, we're honored to have represented North America in the #ELEAGUEMajor Finals. https://t.co/…"
957712408453132288,2018-01-28 20:30:06,"RT @JacobNWolf: FaZe Clan takes map one, Mirage (Cloud9’s pick), 16-14 in an extremely close match. The two will face off on Overpass next,…"
957700659435880448,2018-01-28 19:43:25,RT @ELEAGUETV: Next up - THE ELEAGUE MAJOR: BOSTON GRAND FINAL. @Cloud9 vs @FaZeClan live on https://t.co/3NUnKqKytZ https://t.co/8dgHF66S7k
957663042145157120,2018-01-28 17:13:56,let's go @cloud9!!! https://t.co/hk53oE903H
957659595576619008,2018-01-28 17:00:14,+1!!! https://t.co/AIbLn0Z4w6
957443076900904960,2018-01-28 02:39:52,"RT @JacobNWolf: .@Cloud9 becomes the second North American team to ever make a grand final of a Counter-Strike Major. 

https://t.co/PtwjQw…"
957443012602163200,2018-01-28 02:39:37,RT @dfiden: Congrats to @tarik @RUSH @Stewie @C9Skadoodle @autimaticTV for an amazing win. Happy you guys are @Cloud9
957403669577719810,2018-01-28 00:03:17,RT @elonmusk: Aiming for first flight of Falcon Heavy on Feb 6 from Apollo launchpad 39A at Cape Kennedy. Easy viewing from the public caus…
956627729054547968,2018-01-25 20:39:58,"RT @bitstein: Imagine being bearish on Bitcoin on a day like this.

* BitGo acquiring Kingdom Trust Co.
* GDAX partnering with Trading Tech…"
