id,created_at,text
954922881846095872,2018-01-21 03:45:31,@atri_93 Take a look at https://t.co/ybcFS8J9C6 and https://t.co/OVWKosGEA3 and let me know if that's sufficient!
954049388531171328,2018-01-18 17:54:34,"RT @twobitidiot: I have found cold @earndotcom messages to be 100x more interesting, specific and relevant than anything I get through Link…"
953522580698181633,2018-01-17 07:01:13,"Maybe an obvious idea, but would be interesting to see a PvP game in which the winner gets the loot from the loser… https://t.co/O1d1OG1VRx"
953400276202893312,2018-01-16 22:55:13,RT @lopp: You know what's better than buying BTC? Earning it! I earned $400 on @earndotcom last year just by answering questions - you can…
953395039601741825,2018-01-16 22:34:25,"RT @earndotcom: The fastest way to earn free Bitcoin? Just paste your new https://t.co/bm7iUj8aAu affiliate link all over the place.

More…"
949092843959721990,2018-01-05 01:39:01,"Did another little spot on CNBC this morning. Talked about how year-over-year growth appreciation in BTC is 15X, Et… https://t.co/l8vgpLyQ8P"
947572187698884608,2017-12-31 20:56:29,"@joonian @La__Cuen @kyletorpey Right, key is what decisions they're making based on the news. If they are financial… https://t.co/gsEb0O49AU"
947557016486023168,2017-12-31 19:56:12,"@joonian @La__Cuen @kyletorpey Yes, there are many differences (worth a longer post), but some software ideas I thi… https://t.co/eBziKDSOeg"
947555640989270016,2017-12-31 19:50:44,"@joonian My understanding is that corrections to articles are often labeled as ""humiliating"". See for example:
https://t.co/C3yMnqFFn8"
947554896596701184,2017-12-31 19:47:46,"@La__Cuen @kyletorpey There would need to be a cultural adaptation on both sides. Rather than the ""paper of record""… https://t.co/UFrBvQJDOH"
947553650112585728,2017-12-31 19:42:49,"@rauchg There are folks who are already working on stuff like this:
https://t.co/S0pzELAmQV
Eg @jashkenas did treme… https://t.co/6SDI386N7A"
947552720264708096,2017-12-31 19:39:07,"@kyletorpey It's already acknowledged that news is just the ""first draft"" of history, so in an ideal world correcti… https://t.co/e0WHN4THuU"
947552060727164928,2017-12-31 19:36:30,Props to @kyletorpey for the integrity to update his Forbes article on Lightning a few times. Would be amazing if n… https://t.co/thwNPU5RM9
947549205979021312,2017-12-31 19:25:09,"RT @eriktorenberg: Sign up to receive early access to Token Daily -- your daily dose of all things crypto (discussion, launches, Q&amp;A w/ exp…"
