,date,trans,volatil,bidask,price,volume,transpm,goog_idx,epu_idx,exp.sem
48,4/13/2016 0:00,4422.0,-0.085179794,0.003624865,-0.4843234,-2960061.5,-37.8859028,-3.0,37.74,0.213163636
49,4/14/2016 0:00,-15750.0,0.114886671,-0.001448744,2.9889203,7801191.88,47.6726389,0.0,21.42,0.203238462
50,4/15/2016 0:00,-30174.0,-0.00322479,0.020561749,2.8926241,-8462168.04,-3.7156944,-1.0,52.17,0.18326875
51,4/16/2016 0:00,10424.0,-0.043027218,-0.001848979,-1.6805662,-1150722.24,-49.5244445,1.0,82.72,0.09975
52,4/17/2016 0:00,27967.0,0.014603545,0.016858716,-0.4698105,4698399.7,0.9561111,0.0,127.3,0.1993
53,4/18/2016 0:00,6116.0,0.137053622,-0.010088679,1.3888299,3953840.23,10.7914584,1.0,63.08,0.061008824
54,4/19/2016 0:00,-9731.0,3.462663439,0.100020104,8.2465334,11460936.8,70.6822222,-1.0,20.66,0.465166667
55,4/20/2016 0:00,-3985.0,-3.078401885,0.04597131,5.9067119,-4513251.58,81.7289583,4.0,41.3,-0.110133333
56,4/21/2016 0:00,-1819.0,-0.121241135,0.085048841,2.4785102,-4098164.92,-43.9586805,2.0,34.27,0.304877778
57,4/22/2016 0:00,-25760.0,-0.000243989,0.129486225,0.9549342,-5914314.47,-65.3634722,-5.0,112.29,0.146986667
58,4/23/2016 0:00,-2061.0,-0.002982539,0.246606636,6.3856275,13513169.7,146.1720833,4.0,77.26,0.224827778
59,4/24/2016 0:00,34409.0,0.717413237,-0.163491184,4.7846941,4841612.46,33.2478472,-1.0,57.8,0.075233333
60,4/25/2016 0:00,33180.0,0.46504058,-0.309766529,5.2347507,-6297661.34,-59.1803472,2.0,59.83,0.179241176
61,4/26/2016 0:00,-11309.0,-0.971103645,-0.02815447,-4.9982487,15379625.84,-6.6136111,0.0,49.42,0.135838462
62,4/27/2016 0:00,8522.0,0.039474278,0.047318671,-13.1238867,-9930084.67,145.8524305,2.0,42.37,0.132893333
63,4/28/2016 0:00,13927.0,-0.497934445,-0.06012263,4.9660628,-13977299.86,-219.6710416,-4.0,20.3,0.142725
64,4/29/2016 0:00,-46172.0,0.011023557,-0.001276716,2.0331293,-3955367.78,-0.4823611,-4.0,54.91,0.10971
65,4/30/2016 0:00,-24282.0,-0.001543486,0.004305762,-1.4387323,-7142590.89,-61.6446528,2.0,45.03,0.1389
66,5/1/2016 0:00,32355.0,0.054673943,0.040543272,-3.8466266,21586972.79,98.2695833,69.0,61.59,0.08658
67,5/2/2016 0:00,11824.0,-0.116581099,0.103147883,0.3203865,-10869302.57,-50.6013194,-38.0,72.72,0.072989286
68,5/3/2016 0:00,-1918.0,0.003198793,-0.102742038,0.5422591,-4305027.79,-13.7886806,-19.0,45.4,0.255995652
69,5/4/2016 0:00,-4118.0,-0.016560343,-0.041281703,-0.6299767,1127012.53,-29.7602778,3.0,44.1,0.28678125
70,5/5/2016 0:00,3659.0,0.166617527,-0.010696149,4.6132415,11946766.47,25.9565278,-5.0,34.04,0.235466667
71,5/6/2016 0:00,-31170.0,0.433762146,-0.002000821,6.4239191,-16523449.12,-3.7077083,-5.0,31.3,0.094433333
72,5/7/2016 0:00,-13037.0,-0.532137852,0.067904209,-0.0179439,-1013893.66,-22.9509722,2.0,46.71,0.160157143
73,5/8/2016 0:00,37424.0,-0.093432652,0.152958794,1.0877196,9109105.09,21.8960416,1.0,57.56,0.0
74,5/9/2016 0:00,19272.0,0.160768283,-0.089098283,-2.9272,6078830.43,83.5988889,0.0,59.73,0.21428
75,5/10/2016 0:00,-11309.0,-0.13183868,-0.111320491,-2.7359469,-10102964.44,-83.4839583,-2.0,62.97,0.117457143
76,5/11/2016 0:00,-6003.0,-0.002440109,-0.1301881,-1.0896631,3597679.14,27.6805555,-3.0,54.4,0.264007143
77,5/12/2016 0:00,3737.0,-0.023638543,-0.073150877,2.8697718,-6649113.72,-60.3984722,-1.0,50.82,0.115390909
78,5/13/2016 0:00,-20866.0,-0.097309646,0.167201363,0.6267183,-5828860.099,34.7113889,-2.0,59.77,0.075796552
79,5/14/2016 0:00,-11109.0,0.327175106,0.04839278,0.5476564,653953.109,-18.6332639,0.0,31.04,-0.15165
80,5/15/2016 0:00,39638.0,0.158350712,0.113965053,-0.5864097,7012198.07,34.5264583,1.0,99.03,-0.021173684
81,5/16/2016 0:00,-1183.0,-0.271355893,-0.115021056,-2.0649047,-849450.33,-47.7523611,0.0,82.79,0.34204
82,5/17/2016 0:00,-3543.0,-0.208599966,-0.01772011,0.8949469,-1802506.31,-25.4559027,2.0,51.62,0.061846154
83,5/18/2016 0:00,-15938.0,0.383613333,0.044748876,-4.7325484,16329797.22,66.6715277,1.0,32.08,0.080116667
84,5/19/2016 0:00,-9749.0,0.073377107,0.067690543,-9.0141305,-10390025.17,-4.4398611,-4.0,58.53,0.269525
85,5/20/2016 0:00,-17935.0,-0.147638226,-0.031112821,0.7038868,-9865650.91,-74.4721528,-2.0,25.94,0.230044444
86,5/21/2016 0:00,-7113.0,-0.185116422,0.080565232,-0.0677422,2182371.05,-0.2225,2.0,54.62,0.194983333
87,5/22/2016 0:00,38406.0,0.003483595,-0.024473914,0.126656,3309778.38,1.5025,1.0,113.01,0.199305882
88,5/23/2016 0:00,23763.0,-0.01139844,-0.226609966,3.3055934,-1014851.92,1.2675,0.0,141.68,0.063314286
89,5/24/2016 0:00,1324.0,0.012879432,0.012453381,3.0335929,2032054.17,21.3665278,-1.0,66.06,0.07764375
90,5/25/2016 0:00,-27750.0,0.021196665,0.076170434,2.5402227,-630604.98,31.6532639,4.07894737,51.51,-0.051853333
91,5/26/2016 0:00,-4795.0,0.712642701,0.174782232,19.3405334,44507660.31,169.019375,3.26315789,23.07,0.012761111
92,5/27/2016 0:00,-22242.0,0.927214522,0.147838246,22.9798228,11970111.19,74.0171528,3.2631579,19.22,0.137844444
93,5/28/2016 0:00,-14312.0,1.001655946,0.557607576,30.4567431,1935573.67,32.3463194,5.71052631,41.02,0.234689474
94,5/29/2016 0:00,32626.0,-1.619606801,-0.435763106,7.7211227,-32495782.52,-148.7046527,2.44736842,54.25,0.009275
95,5/30/2016 0:00,3881.0,0.208073958,-0.26108151,3.650454,20532065.02,-210.0699306,0.0,35.86,0.11583
96,5/31/2016 0:00,19135.0,-0.609106208,-0.00143326,-1.6439902,-24749337.64,101.560625,-4.07894736,48.19,0.33428125
97,6/1/2016 0:00,-3285.0,1.863152453,-0.134183314,4.8210246,-8307436.55,130.0781944,-4.07894737,48.39,0.181855556
98,6/2/2016 0:00,3570.0,-1.449834159,0.010994117,15.4562661,33875786.21,34.6607639,4.07894737,44.41,0.25083
99,6/3/2016 0:00,-38004.0,0.334932484,0.030928692,20.0178564,-15444228.62,36.7343056,0.0,54.72,0.034425
100,6/4/2016 0:00,-6863.0,-0.855654719,0.229190277,2.0699549,-13511570.09,-44.2947917,-4.07894737,130.56,0.18675
101,6/5/2016 0:00,31369.0,0.003078992,-0.013636545,5.3627618,3021927.82,-53.5369444,4.07894737,151.85,0.162763636
102,6/6/2016 0:00,9845.0,1.699834836,-0.314619154,-0.5772205,17054647.11,38.0582639,0.0,136.57,0.159286667
103,6/7/2016 0:00,-1083.0,-1.866526926,0.123845213,-4.7899727,-13805909.29,-71.7693056,-3.2631579,127.93,0.138855556
104,6/8/2016 0:00,6420.0,0.15565621,0.010714745,0.9885581,2211329.76,-18.8713194,-0.81578947,46.41,0.1374375
105,6/9/2016 0:00,-7986.0,-0.254727041,0.10046249,-0.2895047,-4671166.27,-11.5864584,0.0,49.67,0.161171429
106,6/10/2016 0:00,-15208.0,0.798034398,-0.050144405,6.3784856,8446278.26,-3.2432639,0.0,70.69,0.04435
107,6/11/2016 0:00,-2448.0,0.987128772,0.16581624,57.5597938,111573467.5,208.8047917,18.76315789,71.81,0.013930769
108,6/12/2016 0:00,40643.0,0.611152062,0.051072604,46.5371446,-11251098.3,63.58875,13.05263158,64.97,0.125626316
109,6/13/2016 0:00,-4525.0,-1.038895726,0.029698787,-0.0878872999999,-57166909.36,-76.3620139,-11.42105263,60.21,0.159366667
110,6/14/2016 0:00,12373.0,-0.626947564,-0.108880273,-2.5314119,-38616745.71,-10.47375,-9.78947368,83.69,0.00191875
111,6/15/2016 0:00,8668.0,2.536094209,0.160033335,51.4090546,118670470.57,98.8932639,12.2368421,79.47,0.068125
112,6/16/2016 0:00,-14118.0,-0.696558702,-0.140984849,11.0674775,-34411862.0,31.9104861,-1.63157895,109.07,0.031435714
113,6/17/2016 0:00,-18435.0,-0.773405,-0.188511762,3.8948721,-45432094.77,-64.4146528,-4.07894736,71.03,-0.006529412
114,6/18/2016 0:00,-17019.0,-0.712516414,-0.018526316,3.4223791,-46931277.99,-18.396875,-6.52631579,91.09,0.169296552
115,6/19/2016 0:00,31036.0,0.417214656,-0.038237474,-6.8250149,34518639.39,-45.4689583,4.07894736,54.65,-0.03456
116,6/20/2016 0:00,-1170.0,2.932335478,0.315558286,-66.2444749,89769693.27,221.6561111,4.07894737,94.78,0.157833333
117,6/21/2016 0:00,-12523.0,-0.914100801,0.046404129,-31.2659853,-39474039.8,12.334375,-6.52631579,137.6,-0.06043
118,6/22/2016 0:00,5659.0,0.49499732,0.001745286,-57.8948441,18578589.9,91.3493056,3.2631579,146.78,0.069043333
119,6/23/2016 0:00,-3675.0,-1.147966279,0.102924218,62.5190714,-19253867.0,-28.7384028,24.47368421,125.3,0.139
120,6/24/2016 0:00,-30706.0,-0.627786024,-0.133539125,16.3675024,-55895915.94,-117.8714583,-23.65789474,312.85,0.1053
121,6/25/2016 0:00,-25571.0,-0.375185959,0.134815258,-29.7099707,-14516260.96,1.0651389,-8.15789474,586.55,0.02365
122,6/26/2016 0:00,35681.0,-0.443322206,0.050879954,-1.7805807,9366468.46,-64.6045834,0.81578948,322.73,-0.0801
123,6/27/2016 0:00,-4422.0,-0.418624228,-0.074788507,9.5524339,-9805495.07,-57.5433333,-1.63157895,254.28,0.213594737
124,6/28/2016 0:00,11505.0,-0.242656649,-0.126672521,-13.9331669,17549097.39,13.1195139,0.81578947,238.67,0.069684615
125,6/29/2016 0:00,7848.0,0.124444739,-0.233031765,18.0735126,-3714678.34,-53.8650695,-3.26315789,146.63,0.2318625
126,6/30/2016 0:00,-26159.0,0.621417142,-0.011512628,21.6045709,1895073.7,30.9058334,-0.81578947,96.08,0.179876923
127,7/1/2016 0:00,-6926.0,-0.919842816,-0.000531616,11.0909172,-12661043.16,-40.0294445,-2.44736842,108.22,0.232295
128,7/2/2016 0:00,-21748.0,1.142124803,0.105186945,-12.4671174,8563844.0,108.49625,3.26315789,114.48,0.234954545
129,7/3/2016 0:00,36773.0,-0.778651953,-0.123034831,-3.9496111,-30465146.2,-40.1444444,-3.26315789,148.63,0.066023077
130,7/4/2016 0:00,1059.0,-0.050290643,-0.065900741,1.8330855,-4793518.55,-49.805625,0.81578947,84.51,0.130204
131,7/5/2016 0:00,-268.0,-0.181057711,-0.068938237,0.0513826,-2598896.57,-38.9121528,0.0,89.02,0.2012875
132,7/6/2016 0:00,857.0,1.18437637,0.263410418,-29.5794748,71418050.54,168.1218056,3.26315789,185.04,0.093614286
133,7/7/2016 0:00,-4847.0,-0.977850934,0.104584725,5.205686,-50723059.69,-124.6032639,-0.81578947,117.71,0.166892857
134,7/8/2016 0:00,-25296.0,0.846161813,0.014484864,3.769106,28959991.98,57.3013194,11.42105263,105.65,0.092882353
135,7/9/2016 0:00,-22797.0,-1.29787361,-0.098753043,-3.8932054,-44088976.15,-119.0878472,-9.78947368,124.74,0.149709524
136,7/10/2016 0:00,55481.0,1.013289493,0.062360533,2.0029452,2958902.1,-12.2497222,-3.2631579,209.0,-0.35695
137,7/11/2016 0:00,945.0,-0.735463167,0.100949105,8.1040692,26706634.48,-27.0535417,-4.89473684,93.07,-0.067135714
138,7/12/2016 0:00,-2531.0,0.110720341,-0.079727183,5.7917367,-3827664.32,-13.9614583,-0.81578947,113.92,0.219488889
