day,epu_idx,price,volume,bidask,tpm,trans,exp_sem
6/3/2013,85.84,1.4370501,-1254956.446,0.052066621,-1.033854167,1748,0.34
6/4/2013,60.51,-0.5887369,-1315207.423,-0.067821907,-1.200694445,-1062,0.7964
6/5/2013,63.07,0.0153955,100656.597,-0.039539765,-0.852430555,-1922,0.29915
6/6/2013,60.6,-6.3961791,8191968.176,0.018624659,5.472569444,-2450,0.0905
6/7/2013,63.43,-4.9174715,-8222398.461,0.261622645,-4.654861111,-3970,0.59915
6/8/2013,101.54,-9.0886711,17717021.64,-0.020424494,9.397743058,-3747,0.214233333
6/9/2013,72.35,3.5384584,-11142912.24,-0.017934068,-4.833159724,529,0
6/10/2013,76.66,2.6820393,-6746753.563,-0.189340598,-4.130902778,4663,0.4404
6/11/2013,83.91,1.4608504,647194.394,0.010860121,0.7265625,-3756,-0.081766667
6/12/2013,81.19,-0.7753195,1457288.155,-0.015531287,-0.723090278,-2714,0.53495
6/13/2013,48.34,-6.0936512,641985.892,0.163996417,0.775173611,6979,0.653166667
6/14/2013,89.93,-0.93526935,-2611343.872,0.020315121,-1.830381944,-14346,0.329783333
6/15/2013,52.02,-0.01152308,-1751865.093,-0.106183467,-0.859895834,7140,-0.2805
6/16/2013,102.86,0.42443263,861240.87,-0.033576156,0.791319445,2977,0.2387
6/17/2013,108.54,3.6946841,6816030.681,-0.02341232,3.712673611,74,0
6/18/2013,96.83,1.7203566,-5930935.266,-0.006012198,-2.517013889,1014,0
6/19/2013,117.49,1.2216836,3658553.195,-0.007030338,0.477604167,5484,0.158433333
6/20/2013,58.6,-2.6656987,-33157.288,0.271680594,1.6125,-5488,0.1532
6/21/2013,89.92,-2.2184393,-5047583.276,-0.321525182,-1.424826389,-2433,0.3294
6/22/2013,67.01,-0.0196344,80602.493,0.043153963,-2.111458334,-6087,0.21005
6/23/2013,62.97,-2.81650835,3058177.493,0.092920865,2.665625,5738,0.2178
6/24/2013,79.15,0.84740985,6274781.479,-0.039388987,0.109548612,384,0.3612
6/25/2013,69.15,-0.54154583,-9044463.52,0.051588297,-2.652604167,998,0.1806
6/26/2013,74.89,-0.83561156,149291.963,-0.068162516,-0.591493056,501,0.2263
6/27/2013,65.35,-5.43327107,5330518.562,0.175657749,3.132291667,3424,0.3592
6/28/2013,116.34,-1.99803083,-4530194.791,-0.154330945,-2.523611111,-13007,-0.136533333
6/29/2013,145.73,-0.26838457,-1764626.255,0.056119682,-0.703993056,-5592,0.4588
6/30/2013,122.13,-1.80230465,7239377.279,0.036558969,4.038541667,8175,-0.3182
7/1/2013,78.43,-3.09729959,-4162796.928,-0.007584954,-1.499305556,522,0.1089
7/2/2013,89.93,-1.56072021,4956692.611,0.000240399,1.605902778,-4119,0.2083
7/3/2013,74.91,-6.63311677,-1001991.45,0.352505602,-0.4265625,-239,-0.7506
7/4/2013,116.71,-4.97709377,2588938.639,-0.218114396,1.199652778,1745,0.499133333
7/5/2013,191.82,-5.84029242,-5683215.164,0.219340443,-1.159722222,-3665,0.322633333
7/6/2013,186.17,0.24609211,-1101041.714,-0.114952807,-2.322395834,-3016,0.2263
7/7/2013,190.28,7.37751447,3148911.46,-0.047438273,1.859201389,9273,0.2084
7/8/2013,153.37,-0.8439164,-2693686.127,-0.093285683,-1.2125,1203,0.28315
7/9/2013,142.43,3.17721617,4015035.621,-0.147681888,1.041840278,-1594,0.10115
7/10/2013,64.98,8.14091402,-2835091.789,0.131541851,-0.122569444,4196,-0.007775
7/11/2013,26.79,7.29092095,9724593.943,0.097863,4.708506944,4826,-0.156225
7/12/2013,50.01,-3.0153964,-10899283.26,-0.038839655,-4.281944444,-10290,0.280825
7/13/2013,59.42,2.42711686,-2590278.82,-0.110116057,-1.538541667,-3037,0
7/14/2013,97.13,0.83520868,3546615.195,-0.122148159,1.445659722,1821,0.4662
7/15/2013,75.52,0.46767521,-2699317.683,0.043988742,-1.527256944,2638,0
7/16/2013,90.59,-1.21200318,-102511.49,-0.084409538,-0.071354167,1251,0.0779
7/17/2013,70.45,-5.37891989,5653161.253,0.380928882,1.555729167,527,0
7/18/2013,46.82,-0.59776801,-4548333.93,-0.202843384,-1.96875,-4411,-0.7269
7/19/2013,87.73,1.50730874,-2419219.875,-0.149915634,-0.837847222,-3057,0.38885
7/20/2013,29.45,-1.2121426,-154972.6,0.159760331,-0.1875,1754,0
7/21/2013,89.47,0.80843406,395563.091,-0.159685405,-0.035590278,4523,0.8885
7/22/2013,177.9,1.14261051,2299935.082,-0.005071036,1.601041666,-1547,0.4019
7/23/2013,63.97,0.7015171,-1529849.701,0.033197842,-1.113715277,3929,0.0533
7/24/2013,107.63,0.92902839,1203482.17,-0.065966757,1.039756944,169,0.3858
7/25/2013,57.31,1.1775569,-1633560.254,-0.05286228,-0.942013889,-5157,0.293016667
7/26/2013,28.78,-0.91567296,-16805.708,0.037771383,-0.645659722,-481,0
7/27/2013,58.63,0.70035763,3386694.197,-0.03973086,0.653819444,410,0
7/28/2013,96.41,2.8462409,-1395730.363,0.055035725,0.076909723,4510,0.6696
7/29/2013,133.04,1.39782555,705693.152,0.01744367,0.129513889,321,-0.1027
7/30/2013,76.21,4.82397112,3078191.403,-0.012825272,1.389930555,7391,0.4389
7/31/2013,77.62,-1.10677246,-4897544.782,-0.128122415,-1.221006944,1380,-0.0572
8/1/2013,92.95,-0.45439313,2326992.474,0.033817671,1.447048611,777,0.6369
8/2/2013,57.34,-0.64466545,-3558288.481,0.011183253,-1.995138889,-5935,0
8/3/2013,117.54,-0.03356186,-495634.137,-0.026871028,-0.746527778,-2800,0
8/4/2013,116.55,1.17587282,2014214.082,0.048024556,0.687673611,8055,0
8/5/2013,65.12,0.32250498,-456966.62,-0.009242074,-0.541493055,3368,0
8/6/2013,60.63,0.03404749,-994475.48,-0.083005422,0.557986111,3237,0.4019
8/7/2013,100.46,-1.94711496,3021549.022,0.056581826,1.729166666,416,0
8/8/2013,83.3,-1.37304507,-1809872.364,0.018822808,-1.154166666,-8364,-0.096033333
8/9/2013,99.01,-0.47645393,-2034714.748,0.055585321,-1.1078125,2037,0.1426
8/10/2013,137.39,0.47423275,367391.0363,-0.026267105,-0.1859375,-13273,0.1072
8/11/2013,145.71,0.46081949,2005675.655,0.00954253,0.281597222,11806,0.6523
8/12/2013,80.69,1.42980127,483836.565,-0.093403834,0.937152778,2852,-0.744166667
8/13/2013,82.77,3.6222926,4912703.252,0.02659727,1.534027778,-1420,0.2436
8/14/2013,65.28,-0.6038477,-5631187.027,0.074636831,-2.290277778,6469,-0.13885
8/15/2013,43.95,-0.7985391,-377326.318,0.015860517,-0.324131945,12990,-0.46365
8/16/2013,76.5,0.5915872,-448971.089,-0.058997576,-0.622569444,-14573,0.31195
8/17/2013,67.78,0.9804014,-695715.502,0.026794736,-0.204861111,-149,0
8/18/2013,121.14,2.6753226,7916709.054,0.049208902,3.072743055,14917,0
