,close,high,low,open,time,volumefrom,volumeto,timestamp
0,8013.41,8266.55,8012.35,8234.5,1511395200,68011.13,555468612.49,2017-11-22 19:00:00
1,8200.8,8332.94,7900.17,8013.38,1511481600,72996.86,595729324.03,2017-11-23 19:00:00
2,8754.69,8761.98,8153.7,8203.45,1511568000,84670.97,718488771.6,2017-11-24 19:00:00
3,9318.42,9474.62,8746.56,8754.62,1511654400,85892.53,782505339.08,2017-11-25 19:00:00
4,9733.2,9733.61,9316.84,9318.42,1511740800,106908.42,1025227943.06,2017-11-26 19:00:00
5,9906.04,9969.58,9638.2,9732.63,1511827200,87756.47,865344708.87,2017-11-27 19:00:00
6,9837.86,11417.84,8938.7,9906.04,1511913600,233327.29,2418813607.1,2017-11-28 19:00:00
7,9946.76,10689.06,9023.77,9848.05,1512000000,187009.99,1836222132.0,2017-11-29 19:00:00
8,10861.47,10942.8,9420.93,9947.08,1512086400,131919.91,1353681928.12,2017-11-30 19:00:00
9,10912.73,11175.23,10715.55,10861.47,1512172800,86826.02,950480980.98,2017-12-01 19:00:00
10,11246.21,11851.09,10578.43,10912.72,1512259200,122126.15,1380018585.11,2017-12-02 19:00:00
11,11623.91,11624.63,10917.81,11244.2,1512345600,93174.89,1057871728.1,2017-12-03 19:00:00
12,11667.13,11901.87,11486.13,11624.37,1512432000,89688.25,1048852814.67,2017-12-04 19:00:00
13,13749.57,13843.2,11661.76,11667.13,1512518400,191579.01,2437071089.31,2017-12-05 19:00:00
14,16850.31,16879.26,13401.61,13750.09,1512604800,297109.3,4510237727.47,2017-12-06 19:00:00
15,16047.61,17294.85,13906.1,16867.98,1512691200,286763.53,4546039343.16,2017-12-07 19:00:00
16,14843.42,16313.18,13151.47,16048.18,1512777600,181982.24,2699910952.73,2017-12-08 19:00:00
17,15059.6,15783.2,13031.0,14839.98,1512864000,201620.36,2904043306.62,2017-12-09 19:00:00
18,16732.47,17399.18,15024.56,15060.45,1512950400,159725.61,2634286293.38,2017-12-10 19:00:00
19,17083.9,17560.65,16254.53,16733.29,1513036800,132848.35,2246170904.49,2017-12-11 19:00:00
20,16286.82,17267.96,15669.86,17083.9,1513123200,155409.18,2576087118.99,2017-12-12 19:00:00
21,16467.91,16941.08,16023.64,16286.82,1513209600,107919.43,1773839031.47,2017-12-13 19:00:00
22,17604.85,17987.03,16442.2,16467.91,1513296000,153653.35,2682391445.14,2017-12-14 19:00:00
23,19345.49,19587.7,17318.54,17594.08,1513382400,112175.69,2078840140.67,2017-12-15 19:00:00
24,19065.71,19870.62,18750.91,19346.6,1513468800,117408.59,2264654715.24,2017-12-16 19:00:00
25,18972.32,19221.1,18114.42,19065.71,1513555200,139252.59,2597534512.56,2017-12-17 19:00:00
26,17523.7,19021.97,16812.8,18971.19,1513641600,174544.77,3136736167.58,2017-12-18 19:00:00
27,16461.97,17813.6,15642.69,17521.73,1513728000,227678.89,3791802687.09,2017-12-19 19:00:00
28,15632.12,17301.83,14952.98,16461.09,1513814400,163736.57,2619322345.64,2017-12-20 19:00:00
29,13664.97,15823.72,10875.71,15632.12,1513900800,466981.53,6245749210.72,2017-12-21 19:00:00
30,14396.46,15493.23,13356.07,13664.97,1513987200,170170.65,2491925424.46,2017-12-22 19:00:00
31,13789.95,14413.72,12166.45,14396.63,1514073600,182417.36,2428438615.07,2017-12-23 19:00:00
32,13833.49,14467.43,13010.71,13789.95,1514160000,107476.08,1487889394.77,2017-12-24 19:00:00
33,15756.56,16094.67,13748.49,13830.19,1514246400,143136.11,2198591885.81,2017-12-25 19:00:00
34,15416.64,16514.59,14534.66,15757.02,1514332800,138705.71,2162840047.75,2017-12-26 19:00:00
35,14398.7,15505.51,13466.07,15416.34,1514419200,170367.39,2425924542.02,2017-12-27 19:00:00
36,14392.57,15109.81,13951.08,14398.45,1514505600,118876.26,1733609498.72,2017-12-28 19:00:00
37,12531.52,14461.46,11962.09,14392.14,1514592000,182066.04,2387320308.7,2017-12-29 19:00:00
38,13850.4,14241.82,12359.43,12532.38,1514678400,111270.71,1492144790.56,2017-12-30 19:00:00
39,13444.88,13921.53,12877.67,13850.49,1514764800,78446.34,1057824930.49,2017-12-31 19:00:00
40,14754.13,15306.13,12934.16,13444.88,1514851200,137733.11,1956797428.73,2018-01-01 19:00:00
41,15156.62,15435.01,14579.71,14754.09,1514937600,106545.8,1604243779.81,2018-01-02 19:00:00
42,15180.08,15408.66,14244.67,15156.49,1515024000,110968.8271,1656714736.62,2018-01-03 19:00:00
43,16954.78,17126.95,14832.36,15180.08,1515110400,141961.0,2283999823.23,2018-01-04 19:00:00
44,17172.3,17252.85,16286.57,16954.76,1515196800,83929.79,1412734372.97,2018-01-05 19:00:00
45,16228.16,17184.81,15791.13,17174.5,1515283200,79006.77,1309539657.27,2018-01-06 19:00:00
46,14976.17,16302.92,13902.31,16228.26,1515369600,142454.6,2166377004.44,2018-01-07 19:00:00
47,14468.5,15390.28,14221.55,14976.17,1515456000,99731.75,1486819779.2,2018-01-08 19:00:00
48,14919.49,14919.49,13450.54,14468.09,1515542400,142304.82,2025098826.67,2018-01-09 19:00:00
49,13308.06,14979.96,12825.95,14920.36,1515628800,173452.71,2373501575.84,2018-01-10 19:00:00
50,13841.19,14129.08,12851.91,13308.06,1515715200,102068.62,1402302163.38,2018-01-11 19:00:00
51,14243.12,14595.04,13830.28,13841.19,1515801600,71302.91,1021378821.46,2018-01-12 19:00:00
52,13638.63,14415.67,13031.91,14244.12,1515888000,81536.17,1112593389.36,2018-01-13 19:00:00
53,13631.98,14355.82,13416.71,13638.63,1515974400,84090.64,1170474410.99,2018-01-14 19:00:00
54,11282.49,13648.84,10032.69,13634.6,1516060800,325703.87,3842665826.51,2018-01-15 19:00:00
55,11162.7,11736.3,9205.38,11282.49,1516147200,348632.96,3666990987.22,2018-01-16 19:00:00
56,11175.52,12018.43,10642.33,11162.7,1516233600,204920.44,2357283479.71,2018-01-17 19:00:00
57,11521.76,11780.49,10867.18,11175.52,1516320000,110886.9435,1264889868.54,2018-01-18 19:00:00
58,12783.94,13031.04,11502.11,11521.82,1516406400,119085.65,1492733043.7,2018-01-19 19:00:00
59,11549.93,12787.35,11101.73,12783.54,1516492800,130427.91,1552759579.93,2018-01-20 19:00:00
60,10814.52,11913.74,10067.76,11549.98,1516579200,165724.19,1812006767.41,2018-01-21 19:00:00
61,10858.23,11388.52,9980.5,10814.52,1516665600,158869.26,1710189953.85,2018-01-22 19:00:00
62,11429.02,11531.6,10506.55,10853.78,1516752000,115806.43,1286454469.93,2018-01-23 19:00:00
63,11175.87,11741.92,10930.34,11428.11,1516838400,93318.67,1061075432.04,2018-01-24 19:00:00
64,11104.2,11656.54,10346.86,11175.87,1516924800,142351.89,1560148763.05,2018-01-25 19:00:00
65,11459.71,11638.69,10879.2,11104.34,1517011200,90874.57,1031101766.89,2018-01-26 19:00:00
66,11767.74,12064.19,11407.94,11460.39,1517097600,87917.49,1038156585.41,2018-01-27 19:00:00
67,11233.95,11860.29,11089.52,11767.74,1517184000,80714.81,920850134.55,2018-01-28 19:00:00
68,10107.26,11263.7,9871.21,11234.32,1517270400,164074.12,1720908669.91,2018-01-29 19:00:00
69,10226.86,10377.96,9698.13,10107.4,1517356800,122261.18,1230911399.88,2018-01-30 19:00:00
70,9114.72,10280.84,8726.95,10226.86,1517443200,208920.14,1964323235.03,2018-01-31 19:00:00
71,8870.82,9147.93,7786.2,9114.73,1517529600,322598.21,2768780611.16,2018-02-01 19:00:00
72,9251.27,9504.37,8194.68,8872.87,1517616000,139226.78,1253491922.98,2018-02-02 19:00:00
73,8218.05,9400.99,7889.83,9251.27,1517702400,164609.5,1413211740.05,2018-02-03 19:00:00
74,6937.08,8391.29,6627.31,8218.05,1517788800,341830.63,2534165069.85,2018-02-04 19:00:00
75,7701.25,7932.38,5968.36,6936.43,1517875200,495884.37,3397606093.37,2018-02-05 19:00:00
76,7592.72,8572.68,7208.86,7701.25,1517961600,271451.99,2159778956.37,2018-02-06 19:00:00
77,8260.69,8643.94,7590.48,7593.78,1518048000,193041.38,1594683617.4,2018-02-07 19:00:00
78,8696.83,8743.2,7775.36,8259.26,1518134400,162280.71,1348083408.5,2018-02-08 19:00:00
79,8569.29,9081.49,8176.25,8696.83,1518220800,155618.62,1348938542.63,2018-02-09 19:00:00
80,8084.61,8573.35,7862.31,8569.32,1518307200,123294.05,1013773945.86,2018-02-10 19:00:00
81,8911.27,8997.34,8084.41,8084.61,1518393600,124925.63,1085938337.2,2018-02-11 19:00:00
82,8544.69,8955.15,8379.35,8911.17,1518480000,98635.05,853342369.73,2018-02-12 19:00:00
83,8728.57,8749.63,8542.98,8544.69,1518566400,10096.98,87806143.58,2018-02-13 19:00:00
